METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50584;"{""coordinates"": [-123.14344688271457, 49.26438353678866], ""type"": ""Point""}";Fairview;902403
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66072;"{""coordinates"": [-123.12523294533561, 49.28183011014365], ""type"": ""Point""}";West End;640903
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66073;"{""coordinates"": [-123.12533781552285, 49.28176010390347], ""type"": ""Point""}";West End;640907
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;66055;"{""coordinates"": [-123.12590142819074, 49.2813874505898], ""type"": ""Point""}";West End;640925
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;60163;"{""coordinates"": [-123.1248713052417, 49.28179909035332], ""type"": ""Point""}";Downtown;640914
Single;$5.00;$3.00;$5.00;$3.00;$5.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;66859;"{""coordinates"": [-123.1208487679332, 49.27357210772267], ""type"": ""Point""}";Downtown;160120
Single / Disability;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50912;"{""coordinates"": [-123.06984529897021, 49.26476435219361], ""type"": ""Point""}";Grandview-Woodland;6C2207
Twin;$5.00;$3.00;$5.00;$3.00;$5.00;$3.00;$1.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64606;"{""coordinates"": [-123.11039537662191, 49.282572282370815], ""type"": ""Point""}";Downtown;570407
Twin;$4.00;$3.00;$4.00;$3.00;$4.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;64401;"{""coordinates"": [-123.12206018008204, 49.28392577423909], ""type"": ""Point""}";West End;640709
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52746;"{""coordinates"": [-123.15388437961683, 49.2344735673167], ""type"": ""Point""}";Kerrisdale;K12036
