index,METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,latln,level_0
3,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66055,"{""coordinates"": [-123.12590142819074, 49.2813874505898], ""type"": ""Point""}",West End,640925,"(49.2813874505898, -123.12590142819074)",
5,Single,$5.00,$3.00,$5.00,$3.00,$5.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,66859,"{""coordinates"": [-123.1208487679332, 49.27357210772267], ""type"": ""Point""}",Downtown,160120,"(49.27357210772267, -123.1208487679332)",
30,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,61288,"{""coordinates"": [-123.12297806641084, 49.278070423337454], ""type"": ""Point""}",Downtown,601023,"(49.278070423337454, -123.12297806641084)",
48,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53777,"{""coordinates"": [-123.21091545808456, 49.2637811457829], ""type"": ""Point""}",West Point Grey,D04534,"(49.2637811457829, -123.21091545808456)",
63,Single,$4.00,$1.00,$4.00,$1.00,$4.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54307,"{""coordinates"": [-123.10791776294424, 49.26660058864532], ""type"": ""Point""}",Mount Pleasant,B50121,"(49.26660058864532, -123.10791776294424)",
66,Single,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51884,"{""coordinates"": [-123.1236397470219, 49.26421959960442], ""type"": ""Point""}",Fairview,B80832,"(49.26421959960442, -123.1236397470219)",
79,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53650,"{""coordinates"": [-123.15573386182197, 49.23549423597293], ""type"": ""Point""}",Arbutus-Ridge,K02102,"(49.23549423597293, -123.15573386182197)",
109,Single,$1.00,$4.00,$1.00,$4.00,$1.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,57166,"{""coordinates"": [-123.10088429055291, 49.25754919206109], ""type"": ""Point""}",Mount Pleasant,C50203,"(49.25754919206109, -123.10088429055291)",
118,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56180,"{""coordinates"": [-123.10467747778607, 49.263091464234265], ""type"": ""Point""}",Mount Pleasant,310001,"(49.263091464234265, -123.10467747778607)",
177,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,65856,"{""coordinates"": [-123.13264772440868, 49.292865710345005], ""type"": ""Point""}",Downtown,261725,"(49.292865710345005, -123.13264772440868)",
198,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56495,"{""coordinates"": [-123.10109704692765, 49.256412991250414], ""type"": ""Point""}",Riley Park,513204,"(49.256412991250414, -123.10109704692765)",
214,Single,$7.00,$6.00,$7.00,$6.00,$7.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51869,"{""coordinates"": [-123.1175878693588, 49.26344855147131], ""type"": ""Point""}",Fairview,802417,"(49.26344855147131, -123.1175878693588)",
216,Single,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50610,"{""coordinates"": [-123.1555674052344, 49.23747329853156], ""type"": ""Point""}",Arbutus-Ridge,935327,"(49.23747329853156, -123.1555674052344)",
266,Single,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56898,"{""coordinates"": [-123.09692718139394, 49.26310996466381], ""type"": ""Point""}",Mount Pleasant,9B2416,"(49.26310996466381, -123.09692718139394)",
270,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,61787,"{""coordinates"": [-123.12786848240083, 49.28936400002095], ""type"": ""Point""}",Downtown,680605,"(49.28936400002095, -123.12786848240083)",
276,Single,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,65279,"{""coordinates"": [-123.12053521369369, 49.28884210257698], ""type"": ""Point""}",Downtown,041123,"(49.28884210257698, -123.12053521369369)",
281,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,57106,"{""coordinates"": [-123.10671823636407, 49.263470238480714], ""type"": ""Point""}",Mount Pleasant,762408,"(49.263470238480714, -123.10671823636407)",
287,Single,$5.00,$4.00,$5.00,$4.00,$5.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,66206,"{""coordinates"": [-123.10745318578559, 49.28196355467864], ""type"": ""Point""}",Downtown,060102,"(49.28196355467864, -123.10745318578559)",
292,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56820,"{""coordinates"": [-123.10093527516125, 49.25572869558313], ""type"": ""Point""}",Riley Park,C70203,"(49.25572869558313, -123.10093527516125)",
315,Single,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,56696,"{""coordinates"": [-123.10134162117417, 49.25020877244826], ""type"": ""Point""}",Riley Park,E30134,"(49.25020877244826, -123.10134162117417)",
367,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,51679,"{""coordinates"": [-123.0904318140836, 49.22741835535141], ""type"": ""Point""}",Sunset,J70701,"(49.22741835535141, -123.0904318140836)",
372,Single,$7.00,$2.00,$7.00,$2.00,$7.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56705,"{""coordinates"": [-123.12173154369329, 49.26368880376232], ""type"": ""Point""}",Fairview,822414,"(49.26368880376232, -123.12173154369329)",
393,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,56341,"{""coordinates"": [-123.10076051854215, 49.25338211218513], ""type"": ""Point""}",Riley Park,513516,"(49.25338211218513, -123.10076051854215)",
409,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,53132,"{""coordinates"": [-123.09097068246876, 49.227331784625115], ""type"": ""Point""}",Sunset,J70638,"(49.227331784625115, -123.09097068246876)",
418,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,No Time Limit,Yes,57024,"{""coordinates"": [-123.16629078251223, 49.268122178115846], ""type"": ""Point""}",Kitsilano,3M2004,"(49.268122178115846, -123.16629078251223)",
420,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,No Time Limit,Yes,57021,"{""coordinates"": [-123.1662907656186, 49.26859159274875], ""type"": ""Point""}",Kitsilano,3M1916,"(49.26859159274875, -123.1662907656186)",
427,Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,56822,"{""coordinates"": [-123.1134401793664, 49.26774051367221], ""type"": ""Point""}",Mount Pleasant,WY1917,"(49.26774051367221, -123.1134401793664)",
485,Single,$6.00,$5.00,$6.00,$5.00,$6.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,63123,"{""coordinates"": [-123.10676040391262, 49.282771486946594], ""type"": ""Point""}",Downtown,540302,"(49.282771486946594, -123.10676040391262)",
